DoubletNumber,X,Y,Z,Idx_A,Idx_B,Angle,A_Shift,B_Shift
1,-854.0527478753544,52.930666096414285,1060.0,1,0,0,-70,70
1,-853.2035923599809,54.451647352157934,1080.0,1,0,0,-70,70
1,-852.3364519809942,55.9701248800864,1100.0,1,0,0,-70,70
1,-851.4512627647088,57.48490698304087,1120.0,1,0,0,-70,70
1,-850.5479607374392,58.99480196386253,1140.0,1,0,0,-70,70
1,-849.6264819254998,60.49861812539254,1160.0,1,0,0,-70,70
1,-848.6867623552051,61.9951637704721,1180.0,1,0,0,-70,70
1,-847.7287380528696,63.483247201942405,1200.0,1,0,0,-70,70
1,-846.7523450448078,64.96167672264463,1220.0,1,0,0,-70,70
1,-845.7575193573341,66.42926063541994,1240.0,1,0,0,-70,70
1,-844.7441970167628,67.88480724310952,1260.0,1,0,0,-70,70
1,-843.7123140494085,69.32712484855459,1280.0,1,0,0,-70,70
1,-842.6618064815858,70.75502175459631,1300.0,1,0,0,-70,70
1,-841.5926103396088,72.16730626407588,1320.0,1,0,0,-70,70
1,-840.5046616497923,73.56278667983446,1340.0,1,0,0,-70,70
1,-839.3978964384506,74.94027130471324,1360.0,1,0,0,-70,70
1,-838.2722507318982,76.2985684415534,1380.0,1,0,0,-70,70
1,-837.1276605564495,77.63648639319615,1400.0,1,0,0,-70,70
1,-835.964061938419,78.95283346248266,1420.0,1,0,0,-70,70
1,-834.781390904121,80.24641795225412,1440.0,1,0,0,-70,70
1,-833.5795834798703,81.51604816535169,1460.0,1,0,0,-70,70
1,-832.3585756919811,82.76053240461658,1480.0,1,0,0,-70,70
1,-831.1183035667681,83.97867897288998,1500.0,1,0,0,-70,70
1,-829.8587031305453,85.16929617301307,1520.0,1,0,0,-70,70
1,-828.5797104096275,86.33119230782695,1540.0,1,0,0,-70,70
1,-827.2812614303291,87.46317568017294,1560.0,1,0,0,-70,70
1,-825.9632922189645,88.56405459289213,1580.0,1,0,0,-70,70
1,-824.6257388018483,89.6326373488258,1600.0,1,0,0,-70,70
1,-823.268537205295,90.66773225081499,1620.0,1,0,0,-70,70
1,-821.8916234556187,91.66814760170098,1640.0,1,0,0,-70,70
1,-820.4949335791341,92.63269170432498,1660.0,1,0,0,-70,70
1,-819.0784036021557,93.56017286152809,1680.0,1,0,0,-70,70
1,-817.6419695509977,94.44939937615156,1700.0,1,0,0,-70,70
1,-816.185567451975,95.29917955103652,1720.0,1,0,0,-70,70
1,-814.7091333314016,96.10832168902424,1740.0,1,0,0,-70,70
1,-813.2126032155925,96.8756340929558,1760.0,1,0,0,-70,70
1,-811.6959131308614,97.59992506567247,1780.0,1,0,0,-70,70
1,-810.1589991035233,98.28000291001536,1800.0,1,0,0,-70,70
1,-808.6017971598927,98.91467592882569,1820.0,1,0,0,-70,70
1,-807.0242433262837,99.5027524249447,1840.0,1,0,0,-70,70
1,-805.426273629011,100.04304070121347,1860.0,1,0,0,-70,70
1,-803.807824094389,100.53434906047326,1880.0,1,0,0,-70,70
1,-802.1688307487323,100.97548580556523,1900.0,1,0,0,-70,70
1,-800.5092296183551,101.36525923933053,1920.0,1,0,0,-70,70
1,-798.8289567295718,101.70247766461034,1940.0,1,0,0,-70,70
1,-797.1279481086973,101.985949384246,1960.0,1,0,0,-70,70
1,-795.4061397820457,102.21448270107851,1980.0,1,0,0,-70,70
1,-793.6634677759314,102.38688591794912,2000.0,1,0,0,-70,70
1,-791.899868116669,102.50196733769897,2020.0,1,0,0,-70,70
1,-790.1152768305733,102.55853526316935,2040.0,1,0,0,-70,70
1,-788.3096299439582,102.55539799720137,2060.0,1,0,0,-70,70
1,-786.4828642064559,102.49136761161378,2080.0,1,0,0,-70,70
1,-784.6350502836624,102.36595397167427,2100.0,1,0,0,-70,70
1,-782.7665486055233,102.18017681241436,2120.0,1,0,0,-70,70
1,-780.8777574481301,101.93525307308383,2140.0,1,0,0,-70,70
1,-778.9690750875748,101.63239969293251,2160.0,1,0,0,-70,70
1,-777.040899799949,101.27283361121012,2180.0,1,0,0,-70,70
1,-775.0936298613447,100.8577717671665,2200.0,1,0,0,-70,70
1,-773.1276635478537,100.38843110005142,2220.0,1,0,0,-70,70
1,-771.1433991355676,99.8660285491147,2240.0,1,0,0,-70,70
1,-769.1412349005782,99.29178105360607,2260.0,1,0,0,-70,70
1,-767.1215691189775,98.66690555277539,2280.0,1,0,0,-70,70
1,-765.0848000668573,97.9926189858724,2300.0,1,0,0,-70,70
1,-763.0313260203089,97.27013829214691,2320.0,1,0,0,-70,70
1,-760.9615452554248,96.5006804108487,2340.0,1,0,0,-70,70
1,-758.8758560482964,95.68546228122757,2360.0,1,0,0,-70,70
1,-756.7746566750153,94.82570084253331,2380.0,1,0,0,-70,70
1,-754.6583454116737,93.92261303401571,2400.0,1,0,0,-70,70
1,-752.5273205343632,92.97741579492455,2420.0,1,0,0,-70,70
1,-750.3819803191756,91.99132606450962,2440.0,1,0,0,-70,70
1,-748.2227230422027,90.96556078202073,2460.0,1,0,0,-70,70
1,-746.0499469795362,89.90133688670765,2480.0,1,0,0,-70,70
1,-743.8640504072681,88.79987131782019,2500.0,1,0,0,-70,70
1,-741.66543160149,87.6623810146081,2520.0,1,0,0,-70,70
1,-739.4544888382939,86.49008291632121,2540.0,1,0,0,-70,70
1,-737.2316203937713,85.2841939622093,2560.0,1,0,0,-70,70
1,-734.9972245440142,84.04593109152214,2580.0,1,0,0,-70,70
1,-732.7516995651143,82.77651124350956,2600.0,1,0,0,-70,70
1,-730.4954437331635,81.4771513574213,2620.0,1,0,0,-70,70
1,-728.2288553242535,80.1490683725072,2640.0,1,0,0,-70,70
1,-725.952332614476,78.793479228017,2660.0,1,0,0,-70,70
1,-723.6662738799231,77.41160086320053,2680.0,1,0,0,-70,70
1,-721.3710773966861,76.00465021730759,2700.0,1,0,0,-70,70
1,-719.0671414408573,74.57384422958792,2720.0,1,0,0,-70,70
1,-716.7548642885282,73.12039983929134,2740.0,1,0,0,-70,70
1,-714.4346442157907,71.64553398566763,2760.0,1,0,0,-70,70
1,-712.1068794987366,70.1504636079666,2780.0,1,0,0,-70,70
1,-709.7719684134576,68.636405645438,2800.0,1,0,0,-70,70
1,-707.4303092360454,67.10457703733167,2820.0,1,0,0,-70,70
1,-705.0823002425922,65.55619472289736,2840.0,1,0,0,-70,70
1,-702.7283397091892,63.9924756413849,2860.0,1,0,0,-70,70
1,-700.3688259119288,62.41463673204404,2880.0,1,0,0,-70,70
1,-698.0041571269023,60.82389493412458,2900.0,1,0,0,-70,70
1,-695.6347316302018,59.221467186876325,2920.0,1,0,0,-70,70
1,-693.260947697919,57.60857042954906,2940.0,1,0,0,-70,70
1,-690.8832036061456,55.986421601392564,2960.0,1,0,0,-70,70
1,-688.5018976309734,54.35623764165663,2980.0,1,0,0,-70,70
1,-686.1174280484944,52.71923548959105,3000.0,1,0,0,-70,70
1,-683.7301931348003,51.07663208444563,3020.0,1,0,0,-70,70
1,-681.3405911659826,49.42964436547013,3040.0,1,0,0,-70,70
1,-678.9490204181335,47.77948927191436,3060.0,1,0,0,-70,70
1,-676.5558791673445,46.127383743028105,3080.0,1,0,0,-70,70
1,-674.1615656897076,44.47454471806118,3100.0,1,0,0,-70,70
1,-671.7664782613145,42.82218913626332,3120.0,1,0,0,-70,70
1,-669.371015158257,41.17153393688435,3140.0,1,0,0,-70,70
1,-666.9755746566268,39.52379605917406,3160.0,1,0,0,-70,70
1,-664.580555032516,37.880192442382246,3180.0,1,0,0,-70,70
1,-662.1863545620159,36.241940025758666,3200.0,1,0,0,-70,70
1,-659.7933715212187,34.61025574855314,3220.0,1,0,0,-70,70
1,-657.402004186216,32.98635655001548,3240.0,1,0,0,-70,70
1,-655.0126508330995,31.371459369395403,3260.0,1,0,0,-70,70
1,-652.6257097379614,29.766781145942744,3280.0,1,0,0,-70,70
1,-650.2415791768931,28.173538818907318,3300.0,1,0,0,-70,70
1,-647.8606574259865,26.592949327538847,3320.0,1,0,0,-70,70
1,-645.4833427613335,25.02622961108721,3340.0,1,0,0,-70,70
1,-643.1100334590257,23.47459660880211,3360.0,1,0,0,-70,70
1,-640.7411277951549,21.939267259933388,3380.0,1,0,0,-70,70
1,-638.3770240458131,20.421458503730847,3400.0,1,0,0,-70,70
1,-636.0181204870918,18.922387279444223,3420.0,1,0,0,-70,70
1,-633.6648153950831,17.44327052632333,3440.0,1,0,0,-70,70
1,-631.3175070458786,15.98532518361796,3460.0,1,0,0,-70,70
1,-628.9765937155702,14.549768190577907,3480.0,1,0,0,-70,70
1,-626.6424736802496,13.13781648645299,3500.0,1,0,0,-70,70
1,-624.3155452160086,11.750687010492953,3520.0,1,0,0,-70,70
1,-621.996206598939,10.389596701947596,3540.0,1,0,0,-70,70
1,-619.6848561051327,9.055762500066706,3560.0,1,0,0,-70,70
1,-617.3818920106814,7.750401344100098,3580.0,1,0,0,-70,70
1,-615.0877125916767,6.474730173297516,3600.0,1,0,0,-70,70
1,-612.8027161242107,5.229965926908804,3620.0,1,0,0,-70,70
1,-610.527300884375,4.017325544183734,3640.0,1,0,0,-70,70
1,-608.2618651482614,2.838025964372065,3660.0,1,0,0,-70,70
1,-606.006807191962,1.6932841267236114,3680.0,1,0,0,-70,70
1,-603.7625252915683,0.5843169704881888,3700.0,1,0,0,-70,70
1,-601.529417723172,-0.48765856508445893,3720.0,1,0,0,-70,70
1,-599.3078827628649,-1.5214255407445165,3740.0,1,0,0,-70,70
1,-597.098318686739,-2.5157670172421973,3760.0,1,0,0,-70,70
1,-594.9011237708862,-3.469466055327743,3780.0,1,0,0,-70,70
1,-592.716696291398,-4.381305715751324,3800.0,1,0,0,-70,70
1,-590.5454345243661,-5.250069059263097,3820.0,1,0,0,-70,70
1,-588.3877367458828,-6.074539146613404,3840.0,1,0,0,-70,70
1,-586.2440012320393,-6.853499038552371,3860.0,1,0,0,-70,70
1,-584.1146262589277,-7.585731795830185,3880.0,1,0,0,-70,70
1,-582.0000101026399,-8.270020479197115,3900.0,1,0,0,-70,70
1,-579.9005510392674,-8.905148149403402,3920.0,1,0,0,-70,70
1,-577.8166473449021,-9.489897867199176,3940.0,1,0,0,-70,70
1,-575.7486972956359,-10.023052693334677,3960.0,1,0,0,-70,70
1,-573.6970991675605,-10.503395688560062,3980.0,1,0,0,-70,70
1,-571.6622512367678,-10.929709913625658,4000.0,1,0,0,-70,70
1,-569.6445517793494,-11.300778429281536,4020.0,1,0,0,-70,70
1,-567.6443757310577,-11.615482696267406,4040.0,1,0,0,-70,70
1,-565.6617972746168,-11.873972112957345,4060.0,1,0,0,-70,70
1,-563.6966816078942,-12.077277132077331,4080.0,1,0,0,-70,70
1,-561.7488897078996,-12.226446000969682,4100.0,1,0,0,-70,70
1,-559.8182825516425,-12.322526966976708,4120.0,1,0,0,-70,70
1,-557.9047211161326,-12.366568277440727,4140.0,1,0,0,-70,70
1,-556.0080663783795,-12.359618179704048,4160.0,1,0,0,-70,70
1,-554.1281793153925,-12.302724921108986,4180.0,1,0,0,-70,70
1,-552.2649209041814,-12.19693674899786,4200.0,1,0,0,-70,70
1,-550.4181521217558,-12.043301910712978,4220.0,1,0,0,-70,70
1,-548.5877339451254,-11.842868653596657,4240.0,1,0,0,-70,70
1,-546.7735273512994,-11.596685224991209,4260.0,1,0,0,-70,70
1,-544.9753933172879,-11.305799872238952,4280.0,1,0,0,-70,70
1,-543.1931928201002,-10.971260842682193,4300.0,1,0,0,-70,70
1,-541.4267868367459,-10.59411638366325,4320.0,1,0,0,-70,70
1,-539.6760363442346,-10.175414742524438,4340.0,1,0,0,-70,70
1,-537.9408023195759,-9.71620416660807,4360.0,1,0,0,-70,70
1,-536.2209457397796,-9.217532903256457,4380.0,1,0,0,-70,70
1,-534.516327581855,-8.680449199811916,4400.0,1,0,0,-70,70
1,-532.8268088228116,-8.10600130361676,4420.0,1,0,0,-70,70
1,-531.1522504396593,-7.495237462013302,4440.0,1,0,0,-70,70
1,-529.4925134094076,-6.84920592234386,4460.0,1,0,0,-70,70
1,-527.8474587090659,-6.16895493195074,4480.0,1,0,0,-70,70
1,-526.2169473156439,-5.455532738176263,4500.0,1,0,0,-70,70
1,-524.6008402061514,-4.709987588362744,4520.0,1,0,0,-70,70
1,-522.9989983575977,-3.933367729852488,4540.0,1,0,0,-70,70
1,-521.4112827469925,-3.1267214099878156,4560.0,1,0,0,-70,70
1,-519.8375543513455,-2.29109687611104,4580.0,1,0,0,-70,70
1,-518.2776741476662,-1.4275423755644736,4600.0,1,0,0,-70,70
1,-516.731503112964,-0.5371061556904264,4620.0,1,0,0,-70,70
1,-515.1989022242487,0.3791635361687753,4640.0,1,0,0,-70,70
1,-513.67973245853,1.3202184526708267,4660.0,1,0,0,-70,70
1,-512.1738547928173,2.285010346473415,4680.0,1,0,0,-70,70
1,-510.6811302041201,3.272490970234225,4700.0,1,0,0,-70,70
1,-509.2014196694482,4.281612076610947,4720.0,1,0,0,-70,70
1,-507.7345841658111,5.311325418261245,4740.0,1,0,0,-70,70
1,-506.2804846702184,6.360582747842832,4760.0,1,0,0,-70,70
1,-504.83898215967963,7.428335818013387,4780.0,1,0,0,-70,70
1,-503.4099376112045,8.513536381430592,4800.0,1,0,0,-70,70
1,-501.9932120018026,9.615136190752134,4820.0,1,0,0,-70,70
1,-500.58866630848337,10.732086998635692,4840.0,1,0,0,-70,70
1,-499.19616150825647,11.863340557738965,4860.0,1,0,0,-70,70
1,-497.8155585781316,13.00784862071964,4880.0,1,0,0,-70,70
1,-496.44671849511815,14.164562940235394,4900.0,1,0,0,-70,70
1,-495.0895022362259,15.332435268943915,4920.0,1,0,0,-70,70
1,-493.7437707784642,16.51041735950288,4940.0,1,0,0,-70,70
1,-492.40938509884285,17.69746096457,4960.0,1,0,0,-70,70
1,-491.0862061743714,18.892517836802945,4980.0,1,0,0,-70,70
1,-489.7740949820595,20.094539728859395,5000.0,1,0,0,-70,70
1,-488.47291249891657,21.302478393397042,5020.0,1,0,0,-70,70
1,-487.18251970195223,22.51528558307357,5040.0,1,0,0,-70,70
1,-485.90277756817625,23.731913050546698,5060.0,1,0,0,-70,70
1,-484.633547074598,24.951312548474043,5080.0,1,0,0,-70,70
1,-483.3746891982273,26.17243582951336,5100.0,1,0,0,-70,70
1,-482.1260649160735,27.39423464632229,5120.0,1,0,0,-70,70
1,-480.8875352051464,28.615660751558533,5140.0,1,0,0,-70,70
1,-479.6589610424553,29.835665897879803,5160.0,1,0,0,-70,70
1,-478.4402034050101,31.05320183794374,5180.0,1,0,0,-70,70
1,-477.2311232698202,32.26722032440806,5200.0,1,0,0,-70,70
1,-476.03158161389536,33.476673109930424,5220.0,1,0,0,-70,70
1,-474.841439414245,34.68051194716853,5240.0,1,0,0,-70,70
1,-473.6605576478787,35.877688588780096,5260.0,1,0,0,-70,70
1,-472.48879729180624,37.06715478742275,5280.0,1,0,0,-70,70
1,-471.32601932303703,38.24786229575425,5300.0,1,0,0,-70,70
1,-470.1720847185808,39.418762866432196,5320.0,1,0,0,-70,70
1,-469.02685445544694,40.578808252114335,5340.0,1,0,0,-70,70
1,-467.8901895106452,41.72695020545834,5360.0,1,0,0,-70,70
1,-466.76195086118514,42.86214047912191,5380.0,1,0,0,-70,70
1,-465.6419994840763,43.983330825762664,5400.0,1,0,0,-70,70
1,-464.5301963563283,45.08947299803838,5420.0,1,0,0,-70,70
1,-463.4264024549508,46.17951874860672,5440.0,1,0,0,-70,70
1,-462.3304787569533,47.25241983012532,5460.0,1,0,0,-70,70
1,-461.24228623934533,48.30712799525189,5480.0,1,0,0,-70,70
1,-460.16168587913666,49.34259499664414,5500.0,1,0,0,-70,70
1,-459.08853865333674,50.35777258695974,5520.0,1,0,0,-70,70
1,-458.0227055389553,51.35161251885641,5540.0,1,0,0,-70,70
1,-456.96404751300173,52.32306654499175,5560.0,1,0,0,-70,70
1,-455.91242555248573,53.27108641802354,5580.0,1,0,0,-70,70
1,-454.86770063441696,54.19462389060939,5600.0,1,0,0,-70,70
1,-453.82973373580484,55.09263071540707,5620.0,1,0,0,-70,70
1,-452.79838583365915,55.96405864507416,5640.0,1,0,0,-70,70
1,-451.77351790498926,56.807859432268486,5660.0,1,0,0,-70,70
1,-450.75499092680485,57.62298482964758,5680.0,1,0,0,-70,70
1,-449.74266587611567,58.408386589869224,5700.0,1,0,0,-70,70
1,-448.736403729931,59.16301646559107,5720.0,1,0,0,-70,70
1,-447.73606546526076,59.88582620947082,5740.0,1,0,0,-70,70
1,-446.74151205911437,60.575767574166164,5760.0,1,0,0,-70,70
1,-445.75260448850145,61.23179231233475,5780.0,1,0,0,-70,70
1,-444.7692037304315,61.85285217663436,5800.0,1,0,0,-70,70
1,-443.79117076191426,62.43789891972256,5820.0,1,0,0,-70,70
1,-442.8183665599592,62.98588429425709,5840.0,1,0,0,-70,70
1,-441.850652101576,63.49576005289569,5860.0,1,0,0,-70,70
1,-440.88788836377415,63.96647794829593,5880.0,1,0,0,-70,70
1,-439.92993632356325,64.39698973311556,5900.0,1,0,0,-70,70
1,-438.97665695795297,64.7862471600123,5920.0,1,0,0,-70,70
1,-438.0279112439529,65.13320198164377,5940.0,1,0,0,-70,70
1,-437.0835601585725,65.43680595066769,5960.0,1,0,0,-70,70
1,-436.1434646788215,65.69601081974179,5980.0,1,0,0,-70,70
1,-435.2074857817094,65.90976834152363,6000.0,1,0,0,-70,70
1,-434.2754844442459,66.07703026867097,6020.0,1,0,0,-70,70
1,-433.3473104572895,66.19700148927768,6040.0,1,0,0,-70,70
1,-432.42276178510264,66.27005969413015,6060.0,1,0,0,-70,70
1,-431.5016213932368,66.29692198524032,6080.0,1,0,0,-70,70
1,-430.5836722457224,66.27830549904533,6100.0,1,0,0,-70,70
1,-429.6686973065897,66.21492737198236,6120.0,1,0,0,-70,70
1,-428.7564795398689,66.10750474048852,6140.0,1,0,0,-70,70
1,-427.84680190959034,65.95675474100098,6160.0,1,0,0,-70,70
1,-426.93944737978427,65.76339450995688,6180.0,1,0,0,-70,70
1,-426.03419891448107,65.52814118379338,6200.0,1,0,0,-70,70
1,-425.1308394777109,65.2517118989476,6220.0,1,0,0,-70,70
1,-424.22915203350414,64.9348237918567,6240.0,1,0,0,-70,70
1,-423.32891954589104,64.57819399895783,6260.0,1,0,0,-70,70
1,-422.4299249789019,64.18253965668814,6280.0,1,0,0,-70,70
1,-421.53195129656694,63.74857790148475,6300.0,1,0,0,-70,70
1,-420.6347814629165,63.277025869784815,6320.0,1,0,0,-70,70
1,-419.73819844198084,62.7686006980255,6340.0,1,0,0,-70,70
1,-418.84198519779034,62.22401952264395,6360.0,1,0,0,-70,70
1,-417.9459246943752,61.64399948007729,6380.0,1,0,0,-70,70
1,-417.0497998957657,61.029257706762685,6400.0,1,0,0,-70,70
1,-416.1533937659921,60.380511339137264,6420.0,1,0,0,-70,70
1,-415.25648926908485,59.69847751363819,6440.0,1,0,0,-70,70
1,-414.358869369074,58.983873366702596,6460.0,1,0,0,-70,70
1,-413.46031702999005,58.23741603476763,6480.0,1,0,0,-70,70
1,-412.56061521586304,57.45982265427045,6500.0,1,0,0,-70,70
1,-411.6595468907235,56.651810361648195,6520.0,1,0,0,-70,70
1,-410.7568950186016,55.81409629333801,6540.0,1,0,0,-70,70
1,-409.85244256352763,54.94739758577704,6560.0,1,0,0,-70,70
1,-408.9459724895319,54.052431375402435,6580.0,1,0,0,-70,70
1,-408.0372677606447,53.129914798651335,6600.0,1,0,0,-70,70
1,-407.1261113408962,52.18056499196089,6620.0,1,0,0,-70,70
1,-406.21228619431685,51.20509909176823,6640.0,1,0,0,-70,70
1,-405.29557528493694,50.20423423451054,6660.0,1,0,0,-70,70
1,-404.3757615767866,49.17868755662493,6680.0,1,0,0,-70,70
